date,spot,option_pnl,total_pnl,in_trade,opened,closed
2020-05-04,19.670000076293945,-22.500000000000114,-22.500000000000114,True,True,False
2020-05-05,21.510000228881836,-27.499999999999947,-27.499999999999947,True,False,False
2020-05-06,20.850000381469727,12.5,12.5,True,False,False
2020-05-07,20.469999313354492,22.499999999999964,22.499999999999964,True,False,False
2020-05-08,21.469999313354492,4.440892098500626e-14,4.440892098500626e-14,True,False,False
2020-05-11,21.170000076293945,25.000000000000178,25.000000000000178,True,False,False
2020-05-12,20.969999313354492,22.499999999999964,22.499999999999964,True,False,False
2020-05-13,20.600000381469727,12.5,12.5,True,False,False
2020-05-14,21.450000762939453,-2.000000000000046,-2.000000000000046,True,False,False
2020-05-15,22.389999389648438,-20.99999999999995,-20.99999999999995,True,False,False
2020-05-18,24.309999465942383,-98.00000000000017,-98.00000000000017,True,False,False
2020-05-19,24.440000534057617,17.00000000000008,17.00000000000008,True,False,False
2020-05-20,25.34000015258789,-76.50000000000001,-76.50000000000001,True,False,False
2020-05-21,26.600000381469727,-120.49999999999987,-120.49999999999987,True,False,False
2020-05-22,25.56999969482422,108.5,108.5,True,False,False
2020-05-26,25.65999984741211,27.000000000000103,27.000000000000103,True,False,False
2020-05-27,25.0,63.9999999999999,63.9999999999999,True,False,False
2020-05-28,25.030000686645508,0.4999999999999116,0.4999999999999116,True,False,False
2020-05-29,25.8799991607666,-81.99999999999993,-81.99999999999993,False,False,True
2020-06-01,26.219999313354492,0.0,0.0,False,False,False
2020-06-02,27.06999969482422,-10.0,-10.0,True,True,False
2020-06-03,27.1200008392334,5.000000000000071,5.000000000000071,True,False,False
2020-06-04,27.5,15.000000000000036,15.000000000000036,True,False,False
2020-06-05,28.8700008392334,-30.00000000000007,-30.00000000000007,True,False,False
2020-06-08,28.3700008392334,-7.499999999999929,-7.499999999999929,True,False,False
2020-06-09,28.420000076293945,33.49999999999995,33.49999999999995,True,False,False
2020-06-10,28.43000030517578,13.499999999999934,13.499999999999934,True,False,False
2020-06-11,26.360000610351562,-5.499999999999972,-5.499999999999972,True,False,False
2020-06-12,26.43000030517578,12.5,12.5,True,False,False
