date,spot,option_pnl,total_pnl,in_trade,opened,closed
2020-05-04,19.670000076293945,-8.999999999999972,-8.999999999999972,True,True,False
2020-05-05,21.510000228881836,-26.49999999999999,-26.49999999999999,True,False,False
2020-05-06,20.850000381469727,11.99999999999999,11.99999999999999,True,False,False
2020-05-07,20.469999313354492,22.500000000000007,22.500000000000007,True,False,False
2020-05-08,21.469999313354492,2.500000000000002,2.500000000000002,True,False,False
2020-05-11,21.170000076293945,27.500000000000014,27.500000000000014,True,False,False
2020-05-12,20.969999313354492,19.5,19.5,True,False,False
2020-05-13,20.600000381469727,16.499999999999993,16.499999999999993,True,False,False
2020-05-14,21.450000762939453,-4.999999999999999,-4.999999999999999,True,False,False
2020-05-15,22.389999389648438,-20.499999999999996,-20.499999999999996,True,False,False
2020-05-18,24.309999465942383,-96.50000000000001,-96.50000000000001,True,False,False
2020-05-19,24.440000534057617,16.499999999999996,16.499999999999996,True,False,False
2020-05-20,25.34000015258789,-76.50000000000003,-76.50000000000003,True,False,False
2020-05-21,26.600000381469727,-132.00000000000003,-132.00000000000003,False,False,True
2020-05-22,25.56999969482422,0.0,0.0,False,False,False
2020-05-26,25.65999984741211,0.0,0.0,False,False,False
2020-05-27,25.0,0.0,0.0,False,False,False
2020-05-28,25.030000686645508,0.0,0.0,False,False,False
2020-05-29,25.8799991607666,0.0,0.0,False,False,False
2020-06-01,26.219999313354492,0.0,0.0,False,False,False
2020-06-02,27.06999969482422,-5.500000000000028,-5.500000000000028,True,True,False
2020-06-03,27.1200008392334,10.999999999999988,10.999999999999988,True,False,False
2020-06-04,27.5,13.00000000000001,13.00000000000001,True,False,False
2020-06-05,28.8700008392334,-19.999999999999996,-19.999999999999996,True,False,False
2020-06-08,28.3700008392334,-6.500000000000005,-6.500000000000005,True,False,False
2020-06-09,28.420000076293945,29.00000000000002,29.00000000000002,True,False,False
2020-06-10,28.43000030517578,13.99999999999999,13.99999999999999,True,False,False
2020-06-11,26.360000610351562,-20.999999999999986,-20.999999999999986,True,False,False
2020-06-12,26.43000030517578,18.999999999999993,18.999999999999993,True,False,False
2020-06-15,26.979999542236328,24.50000000000001,24.50000000000001,True,False,False
2020-06-16,27.639999389648438,3.9999999999999813,3.9999999999999813,True,False,False
2020-06-17,27.280000686645508,11.499999999999993,11.499999999999993,True,False,False
2020-06-18,27.889999389648438,10.500000000000004,10.500000000000004,True,False,False
2020-06-19,28.229999542236328,3.5000000000000004,3.5000000000000004,True,False,False
2020-06-22,28.979999542236328,2.500000000000002,2.500000000000002,True,False,False
2020-06-23,28.719999313354492,10.000000000000004,10.000000000000004,True,False,False
2020-06-24,27.25,-5.000000000000002,-5.000000000000002,True,False,False
2020-06-25,27.940000534057617,9.500000000000002,9.500000000000002,False,False,True
2020-06-26,27.360000610351562,0.0,0.0,False,False,False
2020-06-29,28.270000457763672,0.0,0.0,False,False,False
2020-06-30,28.059999465942383,0.0,0.0,False,False,False
2020-07-01,28.350000381469727,-4.000000000000014,-4.000000000000014,True,True,False
2020-07-02,28.75,6.499999999999995,6.499999999999995,True,False,False
2020-07-06,28.959999084472656,17.000000000000004,17.000000000000004,True,False,False
2020-07-07,28.790000915527344,9.499999999999986,9.499999999999986,True,False,False
2020-07-08,29.18000030517578,12.499999999999995,12.499999999999995,True,False,False
