strategy,num_trades,total_pnl,ann_return_$,ann_vol_$,sharpe,max_drawdown_$,win_rate_%,avg_trade_pnl,worst_trade,best_trade,avg_holding_days,avg_tcost_per_trade
A_no_hedge_uncond,74,-2377.999999999999,-401.646112600536,1418.0378844303025,-0.2832407490734266,-5068.499999999998,67.56756756756756,-32.135135135135116,-3374.9999999999995,1014.0000000000006,16.37837837837838,0.0
B_hedge_uncond,74,-4960.568242003,-837.8439658074773,2504.9317508498216,-0.33447776192833634,-8643.455238677001,64.86486486486487,-67.03470597301353,-6143.907868083999,1798.8520320650007,16.37837837837838,8.447951405445945
C_no_hedge_ewma,58,-104.00000000000045,-17.565683646112678,1352.7064420720187,-0.012985584380899601,-4699.5,65.51724137931035,-1.793103448275866,-2865.0,1308.0,16.56896551724138,0.0
D_hedge_ewma_stop,58,557.015914732002,94.08043600031132,1826.4680532132031,0.051509488947699286,-4858.640241391999,58.620689655172406,9.603722667793123,-1667.88134115,2018.901663494,15.10344827586207,7.8082683666896555
