signal,subperiod,start,end,n_days,num_trades,total_pnl,sharpe,max_drawdown_$,worst_trade,best_trade,win_rate_%,avg_trade_pnl,ann_return_$,ann_vol_$
GARCH_default,2020-05-04_to_2021-12-31,2020-05-04,2021-12-31,421,7,-11.249257900000782,-0.008212926773872685,-916.7283534000006,-755.0188063000003,338.08077154999984,57.14285714285714,-71.80764124285727,-6.733522543468402,819.8688152059716
GARCH_default,2022-01-01_to_2023-12-31,2022-01-01,2023-12-31,501,18,3629.16893555,0.9237267997978996,-1483.836443950001,-607.4891108500009,897.2916793,77.77777777777779,228.9207314638889,1825.4502430311377,1976.179800597454
GARCH_default,2024-01-01_to_2026-04-10,2024-01-01,2026-04-10,570,22,1369.325051167999,0.36906732077625853,-2068.301800868,-1676.1315667060003,589.4773001499999,68.18181818181817,-0.04374281145453551,605.3858120953258,1640.3126963991801
GARCH_default,full_sample,2020-05-04,2026-04-10,1492,47,4987.244728818006,0.5297949152303973,-2359.761754300001,-1676.1315667060003,897.2916793,70.2127659574468,76.95653905953192,842.349645886151,1589.9541910851103
EWMA_default,2020-05-04_to_2021-12-31,2020-05-04,2021-12-31,421,17,-941.6136828000006,-0.6262127828815349,-1096.5175191000005,-755.0188063000003,415.8720902000003,52.94117647058824,-55.3890401647059,-563.6262424361049,900.0554729058127
EWMA_default,2022-01-01_to_2023-12-31,2022-01-01,2023-12-31,501,18,3085.498877549999,0.9782946494896434,-1919.132913349999,-1401.5569812499998,708.2002460999993,66.66666666666666,171.41660430833335,1551.9874593664667,1586.4212895124258
EWMA_default,2024-01-01_to_2026-04-10,2024-01-01,2026-04-10,570,23,-1586.8692800180002,-0.28831992536341844,-4858.6402413920005,-1667.88134115,2018.901663494,56.52173913043478,-68.99431652252166,-701.5632606395369,2433.2805294508794
EWMA_default,full_sample,2020-05-04,2026-04-10,1492,58,557.015914732002,0.051509488947699286,-4858.640241391999,-1667.88134115,2018.901663494,58.620689655172406,9.603722667793123,94.08043600031132,1826.4680532132031
