date,available_date,report_date,mm_net,mm_net_oi,mm_net_oi_z,nc_net,nc_net_oi,nc_net_oi_z,total_oi,cot_risk_off
2020-05-04,2020-04-28,2020-04-21,247478,0.10870327210562242,0.2214859769205053,587180,0.25791539981323336,1.3995662070265824,2276638,False
2020-05-05,2020-05-05,2020-04-28,318366,0.1407950284848501,1.056050892148339,589388,0.2606525202082786,1.4797794420114458,2261202,False
2020-05-06,2020-05-05,2020-04-28,318366,0.1407950284848501,1.056050892148339,589388,0.2606525202082786,1.4797794420114458,2261202,False
2020-05-07,2020-05-05,2020-04-28,318366,0.1407950284848501,1.056050892148339,589388,0.2606525202082786,1.4797794420114458,2261202,False
2020-05-08,2020-05-05,2020-04-28,318366,0.1407950284848501,1.056050892148339,589388,0.2606525202082786,1.4797794420114458,2261202,False
2020-05-11,2020-05-05,2020-04-28,318366,0.1407950284848501,1.056050892148339,589388,0.2606525202082786,1.4797794420114458,2261202,False
2020-05-12,2020-05-12,2020-05-05,328601,0.1464438018050057,1.2054436977248855,530612,0.23647170447855514,0.80214082552911,2243871,False
2020-05-13,2020-05-12,2020-05-05,328601,0.1464438018050057,1.2054436977248855,530612,0.23647170447855514,0.80214082552911,2243871,False
2020-05-14,2020-05-12,2020-05-05,328601,0.1464438018050057,1.2054436977248855,530612,0.23647170447855514,0.80214082552911,2243871,False
2020-05-15,2020-05-12,2020-05-05,328601,0.1464438018050057,1.2054436977248855,530612,0.23647170447855514,0.80214082552911,2243871,False
2020-05-18,2020-05-12,2020-05-05,328601,0.1464438018050057,1.2054436977248855,530612,0.23647170447855514,0.80214082552911,2243871,False
2020-05-19,2020-05-19,2020-05-12,351685,0.15644211350432824,1.4526479432969281,541019,0.2406646738018345,0.9207526536980962,2248020,False
2020-05-20,2020-05-19,2020-05-12,351685,0.15644211350432824,1.4526479432969281,541019,0.2406646738018345,0.9207526536980962,2248020,False
2020-05-21,2020-05-19,2020-05-12,351685,0.15644211350432824,1.4526479432969281,541019,0.2406646738018345,0.9207526536980962,2248020,False
2020-05-22,2020-05-19,2020-05-12,351685,0.15644211350432824,1.4526479432969281,541019,0.2406646738018345,0.9207526536980962,2248020,False
2020-05-26,2020-05-26,2020-05-19,360183,0.16684802170145765,1.6949712149892322,543603,0.2518138977713481,1.2315977148302497,2158749,False
2020-05-27,2020-05-26,2020-05-19,360183,0.16684802170145765,1.6949712149892322,543603,0.2518138977713481,1.2315977148302497,2158749,False
2020-05-28,2020-05-26,2020-05-19,360183,0.16684802170145765,1.6949712149892322,543603,0.2518138977713481,1.2315977148302497,2158749,False
2020-05-29,2020-05-26,2020-05-19,360183,0.16684802170145765,1.6949712149892322,543603,0.2518138977713481,1.2315977148302497,2158749,False
2020-06-01,2020-05-26,2020-05-19,360183,0.16684802170145765,1.6949712149892322,543603,0.2518138977713481,1.2315977148302497,2158749,False
2020-06-02,2020-06-02,2020-05-26,374810,0.1754993027975191,1.8694681274491805,542574,0.2540523430966653,1.281702849791929,2135678,False
2020-06-03,2020-06-02,2020-05-26,374810,0.1754993027975191,1.8694681274491805,542574,0.2540523430966653,1.281702849791929,2135678,False
