strategy,num_trades,total_pnl,ann_return_$,ann_vol_$,sharpe,max_drawdown_$,win_rate_%,avg_trade_pnl,worst_trade,best_trade,avg_holding_days,avg_tcost_per_trade
D_hedge_ewma_stop,58,557.015914732002,94.08043600031132,1826.4680532132031,0.051509488947699286,-4858.640241391999,58.620689655172406,9.603722667793123,-1667.88134115,2018.901663494,15.10344827586207,7.8082683666896555
E_no_hedge_garch,47,1586.499999999999,267.96112600536173,1206.5114719891023,0.2220957962078806,-3621.000000000001,76.59574468085107,15.936170212765948,-3359.0000000000005,568.9999999999999,16.638297872340427,0.0
F_hedge_garch_stop,47,4987.244728818006,842.349645886151,1589.9541910851103,0.5297949152303973,-2359.761754300001,70.2127659574468,76.95653905953192,-1676.1315667060003,897.2916793,15.76595744680851,9.257712514936168
