signal,fit_window,refit_every,entry_threshold,stop_loss_mult,num_trades,total_pnl,sharpe,max_drawdown_$,worst_trade,best_trade,win_rate_%,avg_trade_pnl,ann_return_$,ann_vol_$
GARCH,126,5,1.05,1.5,56,-2891.396574299002,-0.35293508502078363,-4646.077958441001,-1785.0106315859996,602.80540255,46.42857142857143,-61.99661465548217,-488.3592069191344,1383.7083011749198
GARCH,126,5,1.05,2.0,56,-2995.5522879869986,-0.31360024755911536,-3917.4921990289977,-1785.0106315859996,602.80540255,57.14285714285714,-63.85653811419643,-505.95119073238857,1613.363492760043
GARCH,126,5,1.05,2.5,56,-2692.024841982,-0.2551289682448297,-4816.1633884739995,-2890.003078233,602.80540255,60.71428571428571,-58.436405149821404,-454.68516097819304,1782.177712339835
GARCH,126,5,1.1,1.5,54,-3128.231926729005,-0.41858320083470685,-5256.814660549005,-1267.1473253679997,602.80540255,44.44444444444444,-64.95000788257413,-528.3608884287596,1262.260136993416
GARCH,126,5,1.1,2.0,54,-2986.7408139130034,-0.26934873034914786,-6254.222255254004,-1560.33657975,602.80540255,53.70370370370371,-62.3298020896852,-504.4629256743142,1872.8988438905783
GARCH,126,5,1.1,2.5,54,-2958.7547844150045,-0.2508312424491818,-6317.451089456004,-1598.00568445,602.80540255,57.407407407407405,-61.81154228416667,-499.73606278323126,1992.3198478135248
GARCH,126,5,1.15,1.5,49,-1921.7326301950015,-0.21722546395692396,-4972.060602749003,-1072.3490697500004,602.80540255,46.93877551020408,-62.05767331328577,-324.582186869397,1494.2179473662534
GARCH,126,5,1.15,2.0,49,-4366.0712423830055,-0.4455129392877802,-6737.8681507370065,-1928.2298773609998,602.80540255,48.97959183673469,-111.94213478651024,-737.4329444239393,1655.2447289249048
GARCH,126,5,1.15,2.5,49,-6510.242690417005,-0.5581194755156879,-8779.879668321006,-4093.842827745,602.80540255,51.02040816326531,-155.70073576679596,-1099.5852265315586,1970.1610045332507
GARCH,126,5,1.2,1.5,44,-3581.2974575709995,-0.35675925455737323,-5391.722833519001,-2238.8227923900004,598.2699888499995,52.27272727272727,-84.10332887270454,-604.8840209838418,1695.4963697698995
GARCH,126,5,1.2,2.0,44,-5671.529776636,-0.5352893282222094,-7993.427260684001,-2238.8227923900004,598.2699888499995,54.54545454545454,-131.60860885145456,-957.9259408259196,1789.5479889490066
GARCH,126,5,1.2,2.5,44,-7981.643094337,-0.7095632118865332,-9571.875807835002,-2238.8227923900004,598.2699888499995,54.54545454545454,-184.11118425375,-1348.1059381856057,1899.9095719764887
GARCH,126,21,1.05,1.5,57,2228.929927680997,0.27056001294112225,-2817.6575940500015,-959.8092717880002,589.4773001499999,57.89473684210527,15.063904116859616,376.46805749035605,1391.4401222780873
GARCH,126,21,1.05,2.0,57,2606.984386768,0.2760322401852844,-3403.775984400001,-1676.1315667060003,589.4773001499999,63.1578947368421,21.696438486807022,440.32175969539946,1595.1823576834254
GARCH,126,21,1.05,2.5,57,1110.2223279339985,0.09930558165375755,-4160.419230452,-3768.2489962900004,589.4773001499999,66.66666666666666,-4.562545001508776,187.51744412826247,1888.287053008436
GARCH,126,21,1.1,1.5,52,-1880.8935351210032,-0.17970565155822749,-5017.770118419003,-2238.8227923900004,1352.9272985500006,51.92307692307693,-38.46427976825005,-317.68443086494153,1767.8043406554007
GARCH,126,21,1.1,2.0,52,-1967.9833164860026,-0.1764678513091514,-6839.357481334004,-2238.8227923900004,1352.9272985500006,61.53846153846154,-40.13908325603851,-332.39396498289057,1883.5950147121955
GARCH,126,21,1.1,2.5,52,-748.0828890870025,-0.0633716393945945,-5417.297368035003,-2238.8227923900004,1352.9272985500006,65.38461538461539,-16.67945965221158,-126.35180164204064,1993.8225182291596
GARCH,126,21,1.15,1.5,47,-2906.069665106009,-0.3419587142250239,-5461.264459730009,-763.5846991499997,2428.922515845,40.42553191489361,-61.83126947034048,-490.8375037578514,1435.3706554027417
GARCH,126,21,1.15,2.0,47,-2541.072348638002,-0.2597871866029613,-5096.267143262002,-1401.5569812499998,2428.922515845,51.06382978723404,-54.065369119957474,-429.1891634428797,1652.0798006054831
