date,atm_iv,ewma_vol_annual,garch_vol_annual
2020-05-04,0.847275,0.5676946050370422,
2020-05-05,0.81635,0.6510361326868468,
2020-05-06,0.815375,0.6427298230581499,
2020-05-07,0.817375,0.6272407560680265,
2020-05-08,0.743225,0.6357845778611256,
2020-05-11,0.746425,0.6188397099384026,
2020-05-12,0.7234499999999999,0.6011216042411082,
2020-05-13,0.7259249999999999,0.5869053801205466,
2020-05-14,0.6808500000000001,0.5903471332701796,
2020-05-15,0.640625,0.5961651639442638,
2020-05-18,0.6392,0.660631499428245,
2020-05-19,0.62415,0.6408416507948835,
2020-05-20,0.634625,0.6370327735216902,
2020-05-21,0.7818499999999999,0.6458078658408648,
2020-05-22,0.77155,0.6446894382768263,
2020-05-26,0.6661250000000001,0.6251988983810961,
2020-05-27,0.655525,0.614562973679761,
2020-05-28,0.650725,0.5958591581929178,
2020-05-29,0.62425,0.5921214685348811,
2020-06-01,0.5955999999999999,0.5763220714577415,
2020-06-02,0.56775,0.5723705642356907,
2020-06-03,0.55065,0.5549802410444226,
2020-06-04,0.5322,0.5407867737177986,
2020-06-05,0.5240750000000001,0.5573518836781213,
2020-06-08,0.590175,0.5446261892551764,
2020-06-09,0.534875,0.5280790727657196,
2020-06-10,0.5407000000000001,0.5119934843331074,
2020-06-11,0.5970249999999999,0.5769046429673298,
2020-06-12,0.5790500000000001,0.5594248574271551,
2020-06-15,0.549525,0.5482633569675093,
2020-06-16,0.5305500000000001,0.5398043430326054,
2020-06-17,0.5217499999999999,0.5258366447518869,
2020-06-18,0.48734999999999995,0.5170186566299675,
2020-06-19,0.496775,0.5034776585401332,
2020-06-22,0.492325,0.49867398455329887,
2020-06-23,0.512875,0.48475069769362733,
2020-06-24,0.5703,0.5124671962080352,
2020-06-25,0.5389999999999999,0.5062802382162931,
2020-06-26,0.5513750000000001,0.49758816959660795,
2020-06-29,0.50485,0.49892372545070957,
2020-06-30,0.4949,0.484592573961454,
2020-07-01,0.450625,0.4715279740807835,
2020-07-02,0.4431,0.460398066795652,
2020-07-06,0.43379999999999996,0.4472686538673379,
2020-07-07,0.41945,0.43424691888890127,
2020-07-08,0.397175,0.4242565516242376,
2020-07-09,0.41915,0.4242724592828746,
2020-07-10,0.40025,0.41982570639629335,
2020-07-13,0.416775,0.413293767502609,
2020-07-14,0.421525,0.4039995380687972,
2020-07-15,0.396,0.3955089784529793,
2020-07-16,0.39080000000000004,0.3838500876183375,
2020-07-17,0.36245,0.3722426399230725,
2020-07-20,0.35914999999999997,0.36091251736495333,
2020-07-21,0.35409999999999997,0.35879189989693944,
2020-07-22,0.3607,0.34788377439866014,
2020-07-23,0.38295,0.3402343297305752,
2020-07-24,0.37592499999999995,0.3298932431591943,
2020-07-27,0.37817500000000004,0.32195432524218426,
2020-07-28,0.365975,0.31592449173883824,
2020-07-29,0.351075,0.30767352392787883,
2020-07-30,0.380375,0.31019749428603177,
2020-07-31,0.37555,0.3013329026206788,
2020-08-03,0.364625,0.29435650178484074,
2020-08-04,0.351525,0.2911995117990862,
2020-08-05,0.340125,0.288288605585832,
2020-08-06,0.338425,0.2795802796215371,
2020-08-07,0.3287,0.274413836133971,
2020-08-10,0.3232,0.26907015245428406,
2020-08-11,0.31545,0.26457180334328145,
2020-08-12,0.304,0.27364850265685764,
2020-08-13,0.303975,0.2660961021373988,
2020-08-14,0.295825,0.2581454248332108,
2020-08-17,0.28525,0.25647075621425663,
2020-08-18,0.27345,0.24958906441643733,
2020-08-19,0.27412499999999995,0.242105424806598,
2020-08-20,0.27402499999999996,0.2354035603797505,
2020-08-21,0.28785,0.23235217109742654,
2020-08-24,0.2894,0.22633015010309412,
2020-08-25,0.281575,0.23105519799116073,
2020-08-26,0.2827,0.22401985458765705,
2020-08-27,0.289025,0.21966170388595663,
2020-08-28,0.2817,0.21306409344635152,
2020-08-31,0.292875,0.20733545869176553,
2020-09-01,0.28425,0.20105534190824206,
2020-09-02,0.31089999999999995,0.21749133617790808,
2020-09-03,0.3458,0.21281725322880582,
2020-09-04,0.378775,0.2557695261874149,
2020-09-08,0.46690000000000004,0.3505489978090205,
2020-09-09,0.42469999999999997,0.3528367583635735,
2020-09-10,0.4484,0.3534669032698696,
2020-09-11,0.44255,0.3445969184849868,
2020-09-14,0.433,0.334409592653072,
2020-09-15,0.385825,0.3346346131608751,
2020-09-16,0.34875,0.36319830221513794,
2020-09-17,0.3356,0.35925048214957633,
2020-09-18,0.33225000000000005,0.34904395375488645,
2020-09-21,0.370825,0.354154766348434,
2020-09-22,0.37172499999999997,0.3437633937487249,
2020-09-23,0.3759,0.33385354659964844,
2020-09-24,0.362825,0.33007816778682697,
2020-09-25,0.34775,0.32067982894628577,
2020-09-28,0.3523,0.3143474870431728,
2020-09-29,0.395825,0.3339621088248876,
2020-09-30,0.36587499999999995,0.33399865467869544,
2020-10-01,0.41007499999999997,0.341586043073075,
2020-10-02,0.48805000000000004,0.3711372511904434,
2020-10-05,0.442275,0.4251489582791682,
2020-10-06,0.41195000000000004,0.4170627452468437,
2020-10-07,0.40580000000000005,0.4043573338823764,
2020-10-08,0.383025,0.4049377748286416,
2020-10-09,0.38227500000000003,0.39723843612663606,
2020-10-12,0.40800000000000003,0.3943948237978036,
2020-10-13,0.38844999999999996,0.3861258124733819,
2020-10-14,0.38425,0.3809258336736745,
2020-10-15,0.39244999999999997,0.3693603478947081,
2020-10-16,0.39980000000000004,0.35933536922112297,
2020-10-19,0.395975,0.3488349076740182,
2020-10-20,0.39105,0.34385570912199304,
2020-10-21,0.41425,0.35757174071849834,
2020-10-22,0.39745,0.35122449520391047,
2020-10-23,0.40647500000000003,0.35143526111026674,
2020-10-26,0.43837499999999996,0.357709770945886,
2020-10-27,0.424625,0.35644686577583573,
2020-10-28,0.5003,0.398681550461003,
2020-10-29,0.5554250000000001,0.4009062710985433,
2020-10-30,0.614675,0.3923616330358017,
2020-11-02,0.583,0.4098406383442468,
2020-11-03,0.570425,0.4030518247344393,
2020-11-04,0.470175,0.40421968410329845,
2020-11-05,0.467775,0.3939295625695677,
2020-11-06,0.489625,0.3948191547632666,
2020-11-09,0.453275,0.4456559297611179,
2020-11-10,0.4081,0.44703299298621,
2020-11-11,0.41069999999999995,0.43376554825769786,
2020-11-12,0.43510000000000004,0.42365864698801475,
2020-11-13,0.43005000000000004,0.41711562060846136,
2020-11-16,0.39447499999999996,0.414937153477791,
2020-11-17,0.382925,0.40237782492415175,
2020-11-18,0.3857,0.39051074901015354,
2020-11-19,0.38965,0.37880589007991916,
2020-11-20,0.37534999999999996,0.3680483854902488,
2020-11-23,0.36369999999999997,0.35836533988016633,
2020-11-24,0.35335,0.38465855390662235,
2020-11-25,0.35355,0.37969552029773934,
2020-11-27,0.38789999999999997,0.36859996181293914,
2020-11-30,0.375075,0.3587357491905254,
2020-12-01,0.389375,0.3506037834183031,
2020-12-02,0.36845,0.34278387890210477,
2020-12-03,0.33709999999999996,0.3341789406861061,
2020-12-04,0.318575,0.3262641695085605,
2020-12-07,0.323275,0.3169416390406654,
2020-12-08,0.3154,0.3072888143861494,
2020-12-09,0.326925,0.29805384310192395,
2020-12-10,0.327475,0.3039963358021623,
2020-12-11,0.33015,0.29545728698754714,
2020-12-14,0.340525,0.2878119838362203,
2020-12-15,0.316175,0.2825649239352967,
2020-12-16,0.31270000000000003,0.27499100699491036,
2020-12-17,0.308125,0.2711817582189486,
2020-12-18,0.31515,0.26555935175784456,
2020-12-21,0.33897499999999997,0.2757766237937065,
2020-12-22,0.33804999999999996,0.27542007198223606,
2020-12-23,0.320125,0.27851680636656345,
2020-12-24,0.31195,0.2707814905233798,
2020-12-28,0.3303,0.2654392361071375,
2020-12-29,0.3188,0.25834365170712653,
2020-12-30,0.31655,0.2509458526183939,
2020-12-31,0.32272500000000004,0.24358688815354,
2021-01-04,0.36035,0.24776766683042414,
2021-01-05,0.345325,0.30196254957367463,
2021-01-06,0.330625,0.2934074722376164,
2021-01-07,0.310525,0.28842180657711314,
2021-01-08,0.30779999999999996,0.29699522672212963,
2021-01-11,0.33465,0.2885542845052307,
2021-01-12,0.319,0.2883750603115481,
2021-01-13,0.31272500000000003,0.2798003038541617,
