z_window_weeks,risk_off_z,veto_pct_days,num_trades,total_pnl,sharpe,max_drawdown_$,worst_trade,best_trade,win_rate_%,avg_trade_pnl,ann_return_$,ann_vol_$
52,-0.5,60.79088471849866,21,-2296.197660457998,-0.2435529217075485,-5063.222037698,-1515.8876145639988,858.4914665500005,57.14285714285714,-111.41371416361905,-387.82963165912565,1592.3834086655736
52,-1.0,45.0402144772118,31,2982.2348351020028,0.32349945976397443,-3235.0002626799987,-1928.2298773609998,982.0626373500004,64.51612903225806,60.10133783696783,503.7018622290246,1557.0408142150409
52,-1.5,24.53083109919571,39,1727.1459853320023,0.1974650397222675,-2771.9188743939976,-1135.6091300869996,954.0853341590002,64.1025641025641,44.2857944956923,291.71634604803256,1477.3062941082053
104,-0.5,65.8176943699732,16,452.31610283899613,0.05964806957696128,-3685.5450684000025,-1091.2808456000002,2270.388071389,62.5,28.269756427437336,76.39655356261865,1280.788365900887
104,-1.0,46.91689008042895,26,564.3193321420026,0.059507638864361924,-3068.8210386959995,-1515.8876145639988,982.0626373500004,61.53846153846154,20.031884429384647,95.31398907492269,1601.710148375666
104,-1.5,28.217158176943702,37,3768.903810752001,0.39381873044162125,-3413.740208002001,-1928.2298773609998,659.2133670000003,72.97297297297297,71.61649861070273,636.5708849259412,1616.4058124206078
156,-0.5,66.95710455764075,15,-931.5246270000016,-0.1973210385089081,-2615.277886150001,-828.1112270000002,497.9058211499994,53.333333333333336,-62.10164180000009,-157.33525871581796,797.3567334976044
156,-1.0,48.257372654155496,26,1243.8163762839986,0.13286978478254285,-4996.610060048001,-1625.8759894100006,858.4914665500005,69.23076923076923,24.604582863076764,210.08158634287375,1581.108802777826
156,-1.5,28.686327077747993,35,1912.2563566709998,0.2301773037572884,-2604.081848249999,-1785.0106315859996,982.0626373500004,68.57142857142857,38.05264315037134,322.98163664952546,1403.186288905769
