entry_date,exit_date,expiry,strike,premium_received,exit_reason,trade_pnl,option_pnl,hedge_pnl,transaction_costs,holding_days
2021-05-05,2021-05-28,2021-06-04,44.5,333.0,near_expiry,160.00000000000006,160.00000000000006,0.0,0.0,17
2021-07-02,2021-07-23,2021-07-30,51.0,321.0,near_expiry,118.99999999999997,118.99999999999997,0.0,0.0,14
2021-08-02,2021-08-27,2021-09-03,49.0,367.0,near_expiry,180.00000000000003,180.00000000000003,0.0,0.0,19
2021-09-20,2021-10-15,2021-10-22,49.5,361.00000000000006,near_expiry,-442.99999999999994,-442.99999999999994,0.0,0.0,19
2021-10-19,2021-11-12,2021-11-19,57.0,409.0,near_expiry,178.00000000000003,178.00000000000003,0.0,0.0,18
2021-11-17,2021-12-10,2021-12-17,55.0,395.0,near_expiry,62.99999999999998,62.99999999999998,0.0,0.0,16
2021-12-31,2022-01-21,2022-01-28,54.5,388.0,near_expiry,-271.99999999999994,-271.99999999999994,0.0,0.0,14
2022-01-31,2022-02-25,2022-03-04,62.5,521.0,near_expiry,71.00000000000001,71.00000000000001,0.0,0.0,18
2022-03-01,2022-03-25,2022-04-01,72.0,944.9999999999999,near_expiry,-13.999999999999936,-13.999999999999936,0.0,0.0,18
2022-03-30,2022-04-22,2022-04-29,78.0,1000.0,near_expiry,568.9999999999999,568.9999999999999,0.0,0.0,16
2022-05-03,2022-05-27,2022-06-03,76.5,844.9999999999999,near_expiry,-88.00000000000011,-88.00000000000011,0.0,0.0,18
2022-06-01,2022-06-24,2022-07-01,85.5,825.0,near_expiry,278.99999999999994,278.99999999999994,0.0,0.0,16
2022-06-30,2022-07-22,2022-07-29,80.0,790.0,near_expiry,164.99999999999991,164.99999999999991,0.0,0.0,15
2022-08-01,2022-08-26,2022-09-02,75.0,805.0000000000001,near_expiry,420.0000000000001,420.0000000000001,0.0,0.0,19
2022-08-30,2022-09-23,2022-09-30,75.5,750.0,near_expiry,-327.0,-327.0,0.0,0.0,17
2022-10-03,2022-10-28,2022-11-04,68.0,814.9999999999999,near_expiry,274.9999999999999,274.9999999999999,0.0,0.0,19
2022-11-01,2022-11-25,2022-12-02,73.0,715.0,near_expiry,102.00000000000009,102.00000000000009,0.0,0.0,17
2022-11-30,2022-12-23,2022-12-30,70.0,655.0000000000001,near_expiry,383.00000000000017,383.00000000000017,0.0,0.0,17
2023-01-03,2023-01-27,2023-02-03,67.5,670.0,near_expiry,316.0,316.0,0.0,0.0,17
2023-03-13,2023-04-10,2023-04-14,65.0,546.0,near_expiry,27.999999999999876,27.999999999999876,0.0,0.0,19
2023-05-03,2023-05-26,2023-06-02,60.0,538.0000000000001,near_expiry,10.000000000000128,10.000000000000128,0.0,0.0,17
2023-06-01,2023-06-23,2023-06-30,62.5,513.0,near_expiry,278.99999999999994,278.99999999999994,0.0,0.0,15
2023-09-21,2023-10-13,2023-10-20,80.0,512.0,near_expiry,81.99999999999997,81.99999999999997,0.0,0.0,16
2023-10-20,2023-11-10,2023-11-17,81.0,700.0,near_expiry,-238.00000000000006,-238.00000000000006,0.0,0.0,15
2023-11-20,2023-12-15,2023-12-22,72.5,591.0,near_expiry,18.000000000000064,18.000000000000064,0.0,0.0,18
2024-01-02,2024-01-26,2024-02-02,66.0,552.0,near_expiry,-188.99999999999997,-188.99999999999997,0.0,0.0,17
2024-02-20,2024-03-15,2024-03-22,72.5,445.0,near_expiry,11.999999999999948,11.999999999999948,0.0,0.0,18
2024-04-04,2024-04-26,2024-05-03,82.5,508.0,near_expiry,221.00000000000009,221.00000000000009,0.0,0.0,16
2024-05-03,2024-05-24,2024-05-31,75.0,413.99999999999994,near_expiry,224.99999999999994,224.99999999999994,0.0,0.0,15
2024-06-03,2024-06-28,2024-07-05,72.0,448.00000000000006,near_expiry,-426.9999999999999,-426.9999999999999,0.0,0.0,18
2024-07-26,2024-08-16,2024-08-23,76.0,417.0,near_expiry,180.99999999999997,180.99999999999997,0.0,0.0,15
2024-09-04,2024-09-27,2024-10-04,69.5,536.0,near_expiry,225.99999999999997,225.99999999999997,0.0,0.0,17
2024-10-03,2024-10-25,2024-11-01,76.0,825.0,near_expiry,374.00000000000006,374.00000000000006,0.0,0.0,16
2024-11-04,2024-11-29,2024-12-06,74.5,571.0,near_expiry,196.0,196.0,0.0,0.0,18
2024-12-24,2025-01-17,2025-01-24,73.5,432.0,near_expiry,-615.0000000000002,-615.0000000000002,0.0,0.0,15
2025-01-22,2025-02-14,2025-02-21,80.0,515.0,near_expiry,30.999999999999964,30.999999999999964,0.0,0.0,17
2025-02-21,2025-03-14,2025-03-21,75.0,458.0,near_expiry,139.0,139.0,0.0,0.0,15
2025-04-07,2025-05-02,2025-05-09,66.0,459.99999999999994,near_expiry,24.00000000000001,24.00000000000001,0.0,0.0,18
2025-05-08,2025-05-30,2025-06-06,65.5,459.99999999999994,near_expiry,111.99999999999994,111.99999999999994,0.0,0.0,15
2025-06-11,2025-07-07,2025-07-11,75.0,589.0,near_expiry,319.0,319.0,0.0,0.0,16
2025-07-11,2025-08-01,2025-08-08,77.5,544.0,near_expiry,205.99999999999997,205.99999999999997,0.0,0.0,15
2025-10-02,2025-10-24,2025-10-31,71.5,512.0,near_expiry,190.99999999999997,190.99999999999997,0.0,0.0,16
2025-10-31,2025-11-21,2025-11-28,72.5,481.00000000000006,near_expiry,116.00000000000003,116.00000000000003,0.0,0.0,15
2025-12-01,2025-12-26,2026-01-02,71.0,490.00000000000006,near_expiry,189.00000000000006,189.00000000000006,0.0,0.0,18
2025-12-30,2026-01-23,2026-01-30,69.5,461.00000000000006,near_expiry,-52.99999999999993,-52.99999999999993,0.0,0.0,16
2026-01-28,2026-02-20,2026-02-27,77.0,810.0000000000001,near_expiry,315.0,315.0,0.0,0.0,16
2026-02-26,2026-03-20,2026-03-27,80.0,994.9999999999999,near_expiry,-3359.0000000000005,-3359.0000000000005,0.0,0.0,16
